rank,artist,title,original_release_year
169,Metallica,ENTER SANDMAN,1991
170,Jon And Vangelis,I'LL FIND MY WAY HOME,1981
171,Pearl Jam,ALIVE,1991
172,The White Stripes,SEVEN NATION ARMY,2003
173,Bon Jovi,LIVIN' ON A PRAYER,1986
174,Chris Rea,THE ROAD TO HELL,1989
175,Status Quo,IN THE ARMY NOW,1986
176,Hozier,TAKE ME TO CHURCH,2013
177,The Clash,SHOULD I STAY OR SHOULD I GO,1982
178,Limahl,NEVER ENDING STORY,1984
179,Joe Cocker,YOU ARE SO BEAUTIFUL,1974
180,Black Sabbath,CHANGES,1972
181,Dolly Parton,JOLENE,1973
182,Sade,NO ORDINARY LOVE,1992
183,Jimi Hendrix Experience,HEY JOE,1966
184,Kate Bush,WUTHERING HEIGHTS,1978
185,Michael Jackson,THRILLER,1982
186,Elvis Presley,ALWAYS ON MY MIND,1972
187,Nirvana,THE MAN WHO SOLD THE WORLD (MTV UNPLUGGED),1994
188,George Michael,JESUS TO A CHILD,1996
189,Scorpions,STILL LOVING YOU,1984
190,Adele,HELLO,2015
191,Bill Withers,AIN'T NO SUNSHINE,1971
192,Barry White,"YOU'RE THE FIRST, THE LAST, MY EVERYTHING",1974
193,Linkin Park,IN THE END,2001
194,Coolio,GANGSTA'S PARADISE,1995
195,Tina Turner,THE BEST,1989
196,Queen,WHO WANTS TO LIVE FOREVER,1986
197,OMD,ENOLA GAY,1980
198,Lionel Richie,HELLO,1984
199,Led Zeppelin,WHOLE LOTTA LOVE,1969
200,Kings Of Leon,SEX ON FIRE,2008
201,Annie Lennox,WHY,1992
202,The Clash,LONDON CALLING,1979
203,Guns N' Roses,DON'T CRY,1991
204,Cigarettes After Sex,SWEET,2017
205,Andrea Bocelli & Sarah Brightman,TIME TO SAY GOODBYE,1996
206,Aerosmith,CRAZY,1994
207,Dire Straits,PRIVATE INVESTIGATIONS,1982
208,Arctic Monkeys,DO I WANNA KNOW,2013
209,Amy Winehouse,REHAB,2006
210,Audrey Hepburn,MOON RIVER,1961
211,Elton John,I'M STILL STANDING,1983
212,Pet Shop Boys,IT'S A SIN,1987
213,Daft Punk,GET LUCKY,2013
214,Electric Light Orchestra,TICKET TO THE MOON,1981
215,Beastie Boys,SABOTAGE,1994
216,Alice Cooper,POISON,1989
217,Cocteau Twins,PANDORA,1984
218,Dire Straits,YOUR LATEST TRICK,1985
219,The Cure,LOVESONG,1989
220,Santana,SAMBA PA TI,1970
221,Ozzy Osbourne,DREAMER,2001
222,Aretha Franklin,RESPECT,1967
223,The Doors,LIGHT MY FIRE,1967
224,Pink Floyd,TIME,1973
225,Annie Lennox,NO MORE I LOVE YOU'S,1995
226,Basia,CRUISING FOR BRUISING,1990
227,Madonna,LIKE A PRAYER,1989
228,Talking Heads,PSYCHO KILLER,1977
229,Guns N' Roses,KNOCKIN' ON HEAVEN'S DOOR,1987
230,Massive Attack,TEARDROP,1998
231,Bonnie Tyler,TOTAL ECLIPSE OF THE HEART,1983
232,The Cure,FRIDAY I'M IN LOVE,1992
233,The Bolshoi,SUNDAY MORNING,1986
234,Genesis,HOME BY THE SEA,1983
235,Simply Red,IF YOU DON'T KNOW ME BY NOW,1989
236,Queen,LOVE OF MY LIFE (LIVE AT WEMBLEY),1986
237,Sting & Cheb Mami,DESERT ROSE,1999
238,David Bowie,HEROES,1977
239,New Order,BLUE MONDAY,1983
240,Yes,OWNER OF A LONELY HEART,1983
241,The Verve,BITTER SWEET SYMPHONY,1997
242,Santana,EUROPA,1976
243,Elton John,ROCKET MAN,1972
244,Blur,SONG 2,1997
245,Enya,ORINOCO FLOW,1988
246,Vangelis,CONQUEST OF PARADISE (1492),1992
247,Jennifer Rush,THE POWER OF LOVE,1984
248,Marillion,LAVENDER,1985
249,a-ha,CRYING IN THE RAIN,1990
250,Elton John,SACRIFICE,1989
251,Faith No More,EASY,1992
252,The Fugees,KILLING ME SOFTLY WITH HIS SONG,1996
253,Joe Dassin,ET SI TU N'EXISTAIS PAS,1975
254,Queen,WE ARE THE CHAMPIONS,1977
255,The Rolling Stones,(I CAN'T GET NO) SATISFACTION,1965
256,David Bowie,ABSOLUTE BEGINNERS,1986
257,Oasis,WONDERWALL,1995
258,a-ha,HUNTING HIGH AND LOW,1986
259,The Alan Parsons Project,EYE IN THE SKY,1982
260,Bill Medley & Jennifer Warner,(I'VE HAD) THE TIME OF MY LIFE,1987
261,Linkin Park,NUMB,2003
262,Nena,99 LUFTBALLONS,1983
263,Joe Cocker,WITH A LITTLE HELP FROM MY FRIENDS,1968
264,10cc,I'M NOT IN LOVE,1975
265,Mark Knopfler's Guitar Heroes,GOING HOME (THEME FROM LOCAL HERO),1983
266,Alicia Keys,FALLIN',2001
267,Guns N' Roses,SWEET CHILD O'MINE,1988
268,Alannah Myles,BLACK VELVET,1989
269,Eminem,LOSE YOURSELF,2002
270,Mike Oldfield & Maggie Reilly,MOONLIGHT SHADOW,1983
271,Jay-Z & Alicia Keys,EMPIRE STATE OF MIND,2009
272,Johnny Cash,HURT,2002
273,Roberta Flack,KILLING ME SOFTLY WITH HIS SONG,1973
274,Freddie Mercury & Montserrat Caballe,BARCELONA,1987
275,The Doors,PEOPLE ARE STRANGE,1967
276,Chris Rea,LOOKING FOR THE SUMMER,1991
277,Portishead,GLORY BOX,1994
278,David Gilmour,BETWEEN TWO POINTS (FEAT. ROMANY GILMOUR),2024
279,Bob Dylan,BLOWIN' IN THE WIND,1963
280,Rodriguez,SUGAR MAN,1970
281,Bon Jovi,IT'S MY LIFE,2000
282,The Prodigy,BREATHE,1996
283,Dalida & Alain Delon,"PAROLES, PAROLES",1973
284,Seal,KISS FROM A ROSE,1994
285,Derek And The Dominos,LAYLA,1970
286,Alice In Chains,WOULD?,1992
287,Cyndi Lauper,TIME AFTER TIME,1984
288,Michael Jackson,SMOOTH CRIMINAL,1988
289,Johnny Cash,RING OF FIRE,1963
290,Black Sabbath,IRON MAN,1970
291,Jack Savoretti,YOU DON'T HAVE TO SAY YOU LOVE ME,2022
292,Beastie Boys,(YOU GOTTA) FIGHT FOR YOUR RIGHT (TO PARTY!),1986
293,Röyksopp,WHAT ELSE IS THERE?,2005
294,Tears For Fears,SHOUT,1984
295,Queen,RADIO GA GA,1984
296,Tina Turner,GOLDENEYE,1995
297,Bryan Ferry,SLAVE TO LOVE,1985
298,Janis Joplin,PIECE OF MY HEART,1968
299,Whitney Houston,I HAVE NOTHING,1993
300,Red Hot Chili Peppers,OTHERSIDE,2000
301,Freddie Mercury,I WAS BORN TO LOVE YOU,1985
302,Amy Winehouse,YOU KNOW I'M NO GOOD,2006
303,Céline Dion,MY HEART WILL GO ON,1997
304,Gorillaz,CLINT EASTWOOD,2001
305,Blondie,HEART OF GLASS,1979
306,The Beatles,ALL YOU NEED IS LOVE,1967
307,Tom Odell,ANOTHER LOVE,2012
308,Adele,ROLLING IN THE DEEP,2010
309,Stevie Wonder,I JUST CALLED TO SAY I LOVE YOU,1984
310,Janis Joplin,SUMMERTIME,1968
311,Rammstein,DU HAST,1997
312,Bryan Adams,HEAVEN,1985
313,Belinda Carlisle,HEAVEN IS A PLACE ON EARTH,1987
314,Bruce Springsteen,I'M ON FIRE,1985
315,"Earth, Wind & Fire",SEPTEMBER,1978
316,Ennio Morricone,GABRIEL'S OBOE,1986
317,Simon And Garfunkel,MRS. ROBINSON,1968
318,Amy Macdonald,THIS IS THE LIFE,2007
319,Massive Attack,UNFINISHED SYMPATHY,1991
320,Zaz,SI JAMAIS J'OUBLIE,2015
321,Eminem feat. Dido,STAN,2000
322,Kate Bush,BABOOSHKA,1980
323,Lou Reed,PERFECT DAY,1972
324,Red Box,CHENKO,1983
325,Motörhead,ACE OF SPADES,1980
326,The Cranberries,DREAMS,1992
327,John Lennon,WOMAN,1980
328,Dave Brubeck Quartet,TAKE FIVE,1959
329,America,A HORSE WITH NO NAME,1972
330,Bryan Ferry,DON'T STOP THE DANCE,1985
331,Queen,I WANT TO BREAK FREE,1984
332,The Boomtown Rats,I DON'T LIKE MONDAYS,1979
