rank,artist,title,youtube_views,youtube_url,youtube_upload_date,youtube_video_title,original_release_year
80,Adele,SOMEONE LIKE YOU (LIVE),2432513397,https://www.youtube.com/watch?v=hLQl3WQQoQ0,,Adele - Someone Like You (Official Music Video),
81,Leonard Cohen,DANCE ME TO THE END OF LOVE,199096048,https://www.youtube.com/watch?v=NGorjBVag0I,,Leonard Cohen - Dance Me to the End of Love (Official Video),
82,Eric Clapton,LAYLA (UNPLUGGED),14854332,https://www.youtube.com/watch?v=EOs0qeiJyIg,,Layla (Acoustic Live),
83,Frankie Goes To Hollywood,THE POWER OF LOVE,26184331,https://www.youtube.com/watch?v=WtdRv6GT9Zg,,Frankie Goes To Hollywood - The Power Of Love,
84,R.E.M.,EVERYBODY HURTS,182473117,https://www.youtube.com/watch?v=5rOiW_xY-kc,,R.E.M. - Everybody Hurts (Official HD Music Video),
85,Bob Dylan,KNOCKIN' ON HEAVEN'S DOOR,40769494,https://www.youtube.com/watch?v=rm9coqlk8fY,,Bob Dylan - Knockin' On Heaven's Door (Official Audio),
86,Ultravox,DANCING WITH TEARS IN MY EYES,10440687,https://www.youtube.com/watch?v=PSQWUZ8a2Ho,,Ultravox - Dancing With Tears In My Eyes (Official Music Video) [HD Remaster],
87,Aerosmith,DREAM ON,200203955,https://www.youtube.com/watch?v=89dGC8de0CA,,Aerosmith - Dream On (Audio),
88,INXS,NEVER TEAR US APART,152902963,https://www.youtube.com/watch?v=AIBv2GEnXlc,,INXS - Never Tear Us Apart (Official Music Video),
89,ABBA,THE WINNER TAKES IT ALL,210033689,https://www.youtube.com/watch?v=92cwKCU8Z5c,,ABBA - The Winner Takes It All,
90,Procol Harum,A WHITER SHADE OF PALE,125983799,https://www.youtube.com/watch?v=Mb3iPP-tHdA,,𝕬 𝖂𝖍𝖎𝖙𝖊𝖗 𝕾𝖍𝖆𝖉𝖊 𝕺𝖋 𝕻𝖆𝖑𝖊 - 𝕻𝖗𝖔𝖈𝖔𝖑 𝕳𝖆𝖗𝖚𝖒,
91,Chris de Burgh,THE LADY IN RED,228869119,https://www.youtube.com/watch?v=p_B6J-ZNDHs,,Chris de Burgh - Lady in Red (Live 2016) | Ticketmaster,
92,Nick Cave & Kylie Minogue,WHERE THE WILD ROSES GROW,37967301,https://www.youtube.com/watch?v=lDpnjE1LUvE,,Nick Cave & The Bad Seeds ft. Kylie Minogue - Where The Wild Roses Grow (Official HD Video),
93,Chuck Mangione,CHILDREN OF SANCHEZ,506839,https://www.youtube.com/watch?v=QakBS7J9O2E,,Chuck Mangione - Children Of Sanchez,
94,Alanis Morissette,IRONIC,295270534,https://www.youtube.com/watch?v=Jne9t8sHpUc,,Alanis Morissette - Ironic (Official 4K Music Video),
95,Patrick Swayze,SHE'S LIKE THE WIND,288115933,https://www.youtube.com/watch?v=lU9p1WRfA9w,,Patrick Swayze - She's Like The Wind (Official HD Video) ft. Wendy Fraser,
96,Scorpions,WIND OF CHANGE,1192528175,https://www.youtube.com/watch?v=n4RjJKxsamQ,,Scorpions - Wind Of Change (Official Music Video),
97,David Bowie,SPACE ODDITY,146088391,https://www.youtube.com/watch?v=iYYRH4apXDo,,David Bowie - Space Oddity (Official Video),
98,Red Hot Chili Peppers,UNDER THE BRIDGE,335660871,https://www.youtube.com/watch?v=GLvohMXgcBo,,Red Hot Chili Peppers - Under The Bridge [Official Music Video],
99,Depeche Mode,PERSONAL JESUS,210983633,https://www.youtube.com/watch?v=u1xrNaTO1bI,,Depeche Mode - Personal Jesus,
100,Whitney Houston,I WILL ALWAYS LOVE YOU,1847495446,https://www.youtube.com/watch?v=3JWTaaS7LdU,,Whitney Houston - I Will Always Love You (Official 4K Video),
101,Queen,THE SHOW MUST GO ON,278488111,https://www.youtube.com/watch?v=t99KH0TR-J4,,Queen - The Show Must Go On (Official Video),
102,The Cars,DRIVE,262907678,https://www.youtube.com/watch?v=xuZA6qiJVfU,,The Cars - Drive (Official Music Video),
103,Nick Cave & The Bad Seeds,INTO MY ARMS,35247310,https://www.youtube.com/watch?v=LnHoqHscTKE,,Nick Cave & The Bad Seeds - Into My Arms (4K Official Video),
